<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.15	05:34:00	1.19499	1.19511	1.19498	1.19510	34	0	1
2021.03.15	05:35:00	1.19511	1.19521	1.19507	1.19521	48	0	1
2021.03.15	05:36:00	1.19520	1.19522	1.19510	1.19511	38	0	1
2021.03.15	05:37:00	1.19510	1.19513	1.19508	1.19511	33	0	1
2021.03.15	05:38:00	1.19511	1.19512	1.19506	1.19509	24	0	1
2021.03.15	05:39:00	1.19510	1.19520	1.19508	1.19519	33	0	1
2021.03.15	05:40:00	1.19518	1.19532	1.19518	1.19530	24	0	1
2021.03.15	05:41:00	1.19530	1.19531	1.19527	1.19529	17	0	1
2021.03.15	05:42:00	1.19528	1.19531	1.19528	1.19530	15	0	1
2021.03.15	05:43:00	1.19530	1.19534	1.19521	1.19521	36	0	1
2021.03.15	05:44:00	1.19521	1.19532	1.19521	1.19530	21	0	1
2021.03.15	05:45:00	1.19530	1.19531	1.19514	1.19514	33	0	1
2021.03.15	05:46:00	1.19514	1.19525	1.19513	1.19518	42	0	1
2021.03.15	05:47:00	1.19518	1.19523	1.19518	1.19521	26	0	1
2021.03.15	05:48:00	1.19521	1.19523	1.19518	1.19521	14	0	1
